title,type,release_year,age_certification,target
Babette's Feast,MOVIE,1987,G,4
The Grifters,MOVIE,1990,R,0
A Nightmare on Elm Street Part 2: Freddy's Revenge,MOVIE,1985,R,3
For All Mankind,MOVIE,1989,G,1
Armed and Dangerous,MOVIE,1986,PG-13,3
Runaway Train,MOVIE,1985,R,0
Bolero,MOVIE,1984,R,4
The Freshman,MOVIE,1990,PG,3
Tie Me Up! Tie Me Down!,MOVIE,1990,NC-17,4
Victor/Victoria,MOVIE,1982,PG,3
Police Story 2,MOVIE,1988,PG-13,0
Staying Alive,MOVIE,1983,PG,2
Tanner '88,SHOW,1988,G,4
Tales from the Darkside: The Movie,MOVIE,1990,R,3
Fanny and Alexander,MOVIE,1982,R,2
The Adventures of Milo and Otis,MOVIE,1986,G,2
Sudden Impact,MOVIE,1983,R,0
Quigley Down Under,MOVIE,1990,PG-13,2
Little Monsters,MOVIE,1989,PG,3
The Toy,MOVIE,1982,PG,3
A Christmas Story,MOVIE,1983,PG,3
Europa Europa,MOVIE,1990,R,2
Down by Law,MOVIE,1986,R,4
Lean On Me,MOVIE,1989,PG-13,2
Who's Harry Crumb?,MOVIE,1989,PG-13,3
Lethal Weapon 2,MOVIE,1989,R,0
A Different World,SHOW,1987,TV-Y7,3
The Two Jakes,MOVIE,1990,R,2
Pennies from Heaven,MOVIE,1981,R,2
Au Revoir les Enfants,MOVIE,1987,PG,2
Carlin at Carnegie,MOVIE,1982,G,3
The Dead Pool,MOVIE,1988,R,0
Baby Boom,MOVIE,1987,PG,4
Head of the Class,SHOW,1986,TV-G,3
Metropolitan,MOVIE,1990,PG-13,4
Modern Problems,MOVIE,1981,PG,3
Mona Lisa,MOVIE,1986,R,2
A Nightmare on Elm Street: The Dream Child,MOVIE,1989,R,0
Harlem Nights,MOVIE,1989,R,4
Amityville II: The Possession,MOVIE,1982,R,3
Supergirl,MOVIE,1984,PG,3
L'Argent,MOVIE,1983,G,0
The Falcon and the Snowman,MOVIE,1985,R,0
Moscow on the Hudson,MOVIE,1984,R,4
Stranger Than Paradise,MOVIE,1984,R,4
An Angel at My Table,MOVIE,1990,R,2
Desert Hearts,MOVIE,1985,R,2
Sweetie,MOVIE,1989,R,4
House Party,MOVIE,1990,R,4
Cocoon: The Return,MOVIE,1988,PG,3
The Chosen,MOVIE,1981,PG,2
Eating Raoul,MOVIE,1982,R,3
Vice Versa,MOVIE,1988,PG,3
Superman III,MOVIE,1983,PG,3
Whoopi Goldberg: Direct from Broadway,MOVIE,1985,G,1
Smithereens,MOVIE,1982,R,2
Lady in White,MOVIE,1988,PG-13,0
Sweet Dreams,MOVIE,1985,PG-13,4
Roger & Me,MOVIE,1989,R,1
Eyes on the Prize,SHOW,1987,TV-PG,1
Superman IV: The Quest for Peace,MOVIE,1987,PG,3
Uncommon Valor,MOVIE,1983,R,0
The Official Story,MOVIE,1985,G,2
Iron Eagle II,MOVIE,1988,PG,2
My Life as a Dog,MOVIE,1985,G,4
Amityville 3-D,MOVIE,1983,G,0
Under the Volcano,MOVIE,1984,R,2
Querelle,MOVIE,1982,R,2
The Care Bears Movie,MOVIE,1985,G,3
The Mighty Quinn,MOVIE,1989,R,0
Murphy's Law,MOVIE,1986,R,0
The French Lieutenant's Woman,MOVIE,1981,R,2
Jimi Plays Monterey,MOVIE,1987,G,1
Head Office,MOVIE,1985,PG-13,3
Prancer,MOVIE,1989,G,2
The Times of Harvey Milk,MOVIE,1984,G,1
One Year in a Life of Crime,MOVIE,1989,G,1
Fontaine...Why Am I Straight?,MOVIE,1988,G,3
Lola,MOVIE,1981,R,2
El Diablo,MOVIE,1990,PG-13,3
The Home and the World,MOVIE,1985,G,2
My Brother's Wedding,MOVIE,1983,G,2
I Was a Teenage Zombie,MOVIE,1987,G,3
An Enemy of the People,MOVIE,1990,G,2
Odd Jobs,MOVIE,1986,PG-13,3
Judgment,MOVIE,1990,PG-13,2
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",MOVIE,1990,G,3
Fellow Traveller,MOVIE,1989,G,2
Shake! Otis at Monterey,MOVIE,1987,G,1
Calgary ’88: 16 Days of Glory,MOVIE,1989,G,1
Illusions,MOVIE,1982,G,2
Seoul 1988,MOVIE,1989,G,1
"Lyle, Lyle Crocodile: The Musical - The House on East 88th Street",MOVIE,1987,G,3
Pen Pals,MOVIE,1988,G,1
Mike Mulligan and His Steam Shovel,MOVIE,1990,G,3
Earthday Birthday,MOVIE,1990,G,3
Friends,SHOW,1994,TV-14,4
Jurassic Park,MOVIE,1993,PG-13,0
South Park,SHOW,1997,TV-MA,3
American Psycho,MOVIE,2000,R,0
The Player,MOVIE,1992,R,0
Army of Darkness,MOVIE,1992,R,3
The Sopranos,SHOW,1999,TV-MA,2
The West Wing,SHOW,1999,TV-14,2
Mr. Show with Bob and David,SHOW,1995,TV-MA,3
Good Will Hunting,MOVIE,1997,R,2
Se7en,MOVIE,1995,R,0
The Truman Show,MOVIE,1998,PG,4
Terminator 2: Judgment Day,MOVIE,1991,R,0
The Mummy,MOVIE,1999,PG-13,3
Pride and Prejudice,SHOW,1995,TV-14,2
Whose Line Is It Anyway?,SHOW,1998,TV-14,3
Batman: The Animated Series,SHOW,1992,TV-PG,3
The Fugitive,MOVIE,1993,PG-13,0
Curb Your Enthusiasm,SHOW,2000,TV-MA,3
The Shawshank Redemption,MOVIE,1994,R,2
Twister,MOVIE,1996,PG-13,0
My Cousin Vinny,MOVIE,1992,R,3
Memento,MOVIE,2000,R,0
Boogie Nights,MOVIE,1997,R,2
Point Break,MOVIE,1991,R,0
Chungking Express,MOVIE,1994,PG-13,4
The Matrix,MOVIE,1999,R,3
Miss Congeniality,MOVIE,2000,PG-13,3
Clueless,MOVIE,1995,PG-13,3
The Lost World: Jurassic Park,MOVIE,1997,PG-13,3
Dumb and Dumber,MOVIE,1994,PG-13,3
Babylon 5,SHOW,1994,TV-PG,2
ER,SHOW,1994,TV-14,2
Romeo + Juliet,MOVIE,1996,PG-13,2
Unforgiven,MOVIE,1992,R,2
In the Mood for Love,MOVIE,2000,PG,2
You've Got Mail,MOVIE,1998,PG,4
Starship Troopers,MOVIE,1997,R,0
Reservoir Dogs,MOVIE,1992,R,0
The Birdcage,MOVIE,1996,R,3
Bottle Rocket,MOVIE,1996,R,4
Jackie Brown,MOVIE,1997,R,0
Dawson's Creek,SHOW,1998,TV-PG,2
The Green Mile,MOVIE,1999,R,2
Speed,MOVIE,1994,R,0
Best in Show,MOVIE,2000,PG-13,3
The Wedding Singer,MOVIE,1998,PG-13,3
The Nanny,SHOW,1993,TV-PG,3
Friday,MOVIE,1995,R,4
Rounders,MOVIE,1998,R,2
Batman Returns,MOVIE,1992,PG-13,3
Rush Hour,MOVIE,1998,PG-13,0
Aqua Teen Hunger Force,SHOW,2000,TV-MA,3
Devil in a Blue Dress,MOVIE,1995,R,0
High Fidelity,MOVIE,2000,R,4
Fallen Angels,MOVIE,1995,G,4
Courage the Cowardly Dog,SHOW,1999,TV-Y7,3
Sex and the City,SHOW,1998,TV-MA,4
Sense and Sensibility,MOVIE,1995,PG,2
From Dusk Till Dawn,MOVIE,1996,R,0
Batman Forever,MOVIE,1995,PG-13,3
The Blair Witch Project,MOVIE,1999,R,3
Princess Mononoke,MOVIE,1997,PG-13,3
SLC Punk,MOVIE,1998,R,4
The Thirteenth Floor,MOVIE,1999,R,0
Airheads,MOVIE,1994,PG-13,3
MADtv,SHOW,1995,TV-14,3
Twin Peaks: Fire Walk with Me,MOVIE,1992,R,0
Batman & Robin,MOVIE,1997,PG-13,3
Much Ado About Nothing,MOVIE,1993,PG-13,4
Sliding Doors,MOVIE,1998,PG-13,4
Thelma & Louise,MOVIE,1991,R,0
Deep Blue Sea,MOVIE,1999,R,0
Batman Beyond,SHOW,1999,TV-Y7,0
City Slickers,MOVIE,1991,PG-13,3
Welcome to the Dollhouse,MOVIE,1996,R,4
Batman: Mask of the Phantasm,MOVIE,1993,PG,0
Deep Impact,MOVIE,1998,PG-13,0
Four Weddings and a Funeral,MOVIE,1994,R,4
Coupling,SHOW,2000,TV-14,3
The X Files,MOVIE,1998,PG-13,0
Oz,SHOW,1997,TV-MA,0
InuYasha,SHOW,2000,TV-14,4
She's All That,MOVIE,1999,PG-13,3
Menace II Society,MOVIE,1993,R,0
Dead Man,MOVIE,1995,R,2
Funny Games,MOVIE,1997,R,0
The Perfect Storm,MOVIE,2000,PG-13,0
Eraser,MOVIE,1996,R,0
Selena,MOVIE,1997,PG,2
Step by Step,SHOW,1991,TV-G,4
The Secret Garden,MOVIE,1993,G,2
The Faculty,MOVIE,1998,R,3
Malcolm X,MOVIE,1992,PG-13,2
The Larry Sanders Show,SHOW,1992,TV-MA,3
The Fisher King,MOVIE,1991,R,4
How the Grinch Stole Christmas,MOVIE,2000,PG,3
Urban Legend,MOVIE,1998,R,0
The Powerpuff Girls,SHOW,1998,TV-Y7,3
Space Jam,MOVIE,1996,PG,3
Double Jeopardy,MOVIE,1999,R,0
Rurouni Kenshin,SHOW,1996,TV-14,4
Cronos,MOVIE,1993,R,0
"Ed, Edd n Eddy",SHOW,1999,TV-Y7,3
Assassins,MOVIE,1995,R,0
Nobody's Fool,MOVIE,1994,R,4
The Pelican Brief,MOVIE,1993,PG-13,0
Dexter's Laboratory,SHOW,1996,TV-G,3
Home Movies,SHOW,1999,TV-14,4
Martin,SHOW,1992,TV-PG,4
Cop Land,MOVIE,1997,R,0
Emma,MOVIE,1996,PG,4
The Lawnmower Man,MOVIE,1992,R,3
Spawn,SHOW,1997,TV-MA,0
It Could Happen to You,MOVIE,1994,PG,4
Mighty Morphin Power Rangers: The Movie,MOVIE,1995,PG,0
The Crying Game,MOVIE,1992,R,0
Lois & Clark: The New Adventures of Superman,SHOW,1993,TV-PG,4
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,3
Fly Away Home,MOVIE,1996,PG,2
Mimic,MOVIE,1997,R,0
Return to Me,MOVIE,2000,PG,4
Man Bites Dog,MOVIE,1992,NC-17,0
Breakdown,MOVIE,1997,R,0
Love & Basketball,MOVIE,2000,PG-13,4
Happy Together,MOVIE,1997,PG-13,4
From the Earth to the Moon,SHOW,1998,TV-PG,0
Billy Elliot,MOVIE,2000,PG-13,4
Hard Rain,MOVIE,1998,R,0
Three Colors: Blue,MOVIE,1993,R,2
Outbreak,MOVIE,1995,R,0
The Relic,MOVIE,1997,R,0
MouseHunt,MOVIE,1997,PG,3
George Carlin: You Are All Diseased,MOVIE,1999,G,1
Tenacious D,SHOW,1997,TV-14,3
Hoop Dreams,MOVIE,1994,PG-13,1
Secrets & Lies,MOVIE,1996,R,4
Sleeping with the Enemy,MOVIE,1991,R,0
Rob Roy,MOVIE,1995,R,2
What Women Want,MOVIE,2000,PG-13,3
Lost in Space,MOVIE,1998,PG-13,0
Space Ghost Coast to Coast,SHOW,1994,TV-PG,3
It Takes Two,MOVIE,1995,PG,3
Wonder Boys,MOVIE,2000,R,4
Three Colors: Red,MOVIE,1994,R,2
Mary Shelley's Frankenstein,MOVIE,1994,R,2
The Return of the Texas Chainsaw Massacre,MOVIE,1995,R,3
Superstar,MOVIE,1999,PG-13,3
Porco Rosso,MOVIE,1992,PG,3
Breaking the Waves,MOVIE,1996,R,2
3 Ninjas Knuckle Up,MOVIE,1993,PG-13,3
Mortal Kombat,MOVIE,1995,PG-13,0
Gia,MOVIE,1998,R,2
Private Parts,MOVIE,1997,R,4
Chaplin,MOVIE,1992,PG-13,4
Irma Vep,MOVIE,1996,G,4
Doctor Dolittle,MOVIE,1998,PG-13,3
The Rugrats Movie,MOVIE,1998,G,4
Like Water for Chocolate,MOVIE,1992,R,2
New Nightmare,MOVIE,1994,R,0
Les Misérables,MOVIE,1998,PG-13,2
Night on Earth,MOVIE,1991,R,4
Wild Wild West,MOVIE,1999,PG-13,3
Space Cowboys,MOVIE,2000,PG-13,0
Jason Goes to Hell: The Final Friday,MOVIE,1993,R,0
Superman: The Animated Series,SHOW,1996,TV-PG,2
The Bridges of Madison County,MOVIE,1995,PG-13,2
Three Colors: White,MOVIE,1994,R,4
A Perfect Murder,MOVIE,1998,R,0
Bushwhacked,MOVIE,1995,PG,3
Sealab 2021,SHOW,2000,TV-14,3
Rugrats in Paris: The Movie,MOVIE,2000,G,3
Whisper of the Heart,MOVIE,1995,G,2
Book of Shadows: Blair Witch 2,MOVIE,2000,R,0
Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,3
Taste of Cherry,MOVIE,1997,G,2
Speed 2: Cruise Control,MOVIE,1997,PG-13,0
Freddy's Dead: The Final Nightmare,MOVIE,1991,R,0
The Truth About Cats & Dogs,MOVIE,1996,PG-13,3
Disturbing Behavior,MOVIE,1998,R,0
All the Pretty Horses,MOVIE,2000,PG-13,2
Muppets from Space,MOVIE,1999,G,3
School Ties,MOVIE,1992,PG-13,2
Only Yesterday,MOVIE,1991,PG,2
Ricochet,MOVIE,1991,R,0
"Harvey Birdman, Attorney at Law",SHOW,2000,TV-14,3
The Dark Half,MOVIE,1993,R,0
Benny's Video,MOVIE,1993,G,0
The River Wild,MOVIE,1994,PG-13,0
George Carlin: Jammin' in New York,MOVIE,1992,G,1
Europa,MOVIE,1991,R,0
Next Friday,MOVIE,2000,R,3
Rush,MOVIE,1991,R,0
Dave Chappelle: Killin' Them Softly,MOVIE,2000,G,1
One Survivor Remembers,MOVIE,1996,PG-13,1
Waiting to Exhale,MOVIE,1995,R,4
Larry David: Curb Your Enthusiasm,MOVIE,1999,G,3
Static Shock,SHOW,2000,TV-Y7,0
A Very Brady Sequel,MOVIE,1996,PG-13,3
Buena Vista Social Club,MOVIE,1999,G,1
City Slickers II: The Legend of Curly's Gold,MOVIE,1994,PG-13,4
3 Ninjas: High Noon at Mega Mountain,MOVIE,1998,PG,3
Batman Beyond: Return of the Joker,MOVIE,2000,PG-13,3
And the Band Played On,MOVIE,1993,PG-13,2
Radio Flyer,MOVIE,1992,PG-13,2
The Ladies Man,MOVIE,2000,R,3
Citizen X,MOVIE,1995,R,0
Six Degrees of Separation,MOVIE,1993,R,4
The Peacemaker,MOVIE,1997,R,0
Romeo Must Die,MOVIE,2000,R,0
Pom Poko,MOVIE,1994,PG,4
The Daytrippers,MOVIE,1997,R,4
Gray's Anatomy,MOVIE,1996,G,4
Lethal Weapon 3,MOVIE,1992,R,0
Mortal Kombat: Conquest,SHOW,1998,TV-PG,3
Supernova,MOVIE,2000,R,0
Mickey Blue Eyes,MOVIE,1999,PG-13,3
Mom and Dad Save the World,MOVIE,1992,PG,3
Lethal Weapon 4,MOVIE,1998,R,0
The Adventures of Elmo in Grouchland,MOVIE,1999,G,3
The Wayans Bros.,SHOW,1995,TV-PG,3
Steel,MOVIE,1997,PG-13,3
The Jamie Foxx Show,SHOW,1996,TV-PG,3
Chris Rock: Bigger & Blacker,MOVIE,1999,R,1
Harley Davidson and the Marlboro Man,MOVIE,1991,R,0
The Pentagon Wars,MOVIE,1998,R,4
Hangin' with Mr. Cooper,SHOW,1992,TV-PG,3
Free Willy 2: The Adventure Home,MOVIE,1995,PG,2
Mortal Kombat: Annihilation,MOVIE,1997,PG-13,0
Soul Food,MOVIE,1997,R,4
Paulie,MOVIE,1998,PG,4
Batman & Mr. Freeze: SubZero,MOVIE,1998,G,3
Arliss,SHOW,1996,TV-MA,3
Rules of Engagement,MOVIE,2000,R,0
Ocean Waves,MOVIE,1993,PG,2
The War Room,MOVIE,1993,PG,1
Gang Related,MOVIE,1997,R,0
The Late Shift,MOVIE,1996,R,4
Love and a .45,MOVIE,1994,R,0
The Chris Rock Show,SHOW,1997,TV-MA,3
Cast a Deadly Spell,MOVIE,1991,R,3
Mary Reilly,MOVIE,1996,R,0
Schizopolis,MOVIE,1997,G,3
Lawnmower Man 2: Beyond Cyberspace,MOVIE,1996,PG-13,0
A Brief History of Time,MOVIE,1991,G,1
The Sylvester & Tweety Mysteries,SHOW,1995,TV-Y7,3
Universal Soldier: The Return,MOVIE,1999,R,3
HBO Comedy Half Hour,SHOW,1995,G,1
Switch,MOVIE,1991,R,3
Lucky Numbers,MOVIE,2000,R,3
The Out-of-Towners,MOVIE,1999,PG-13,3
Home Fries,MOVIE,1998,PG-13,4
RKO 281,MOVIE,2000,R,2
Jason's Lyric,MOVIE,1994,R,2
The Tuskegee Airmen,MOVIE,1995,PG-13,2
House Party 2,MOVIE,1991,R,4
Dying Young,MOVIE,1991,R,2
House Party 3,MOVIE,1994,R,3
4 Little Girls,MOVIE,1997,G,1
My Neighbors the Yamadas,MOVIE,1999,PG,3
Real Sports with Bryant Gumbel,SHOW,1995,TV-PG,3
Free Willy 3: The Rescue,MOVIE,1997,PG,2
Autopsy,SHOW,1994,TV-MA,1
The Iceman Tapes: Conversations with a Killer,MOVIE,1992,G,0
A Little Curious,SHOW,1999,TV-Y7,3
Life of Crime 2,MOVIE,1998,G,1
Company Business,MOVIE,1991,PG-13,0
Against the Wall,MOVIE,1994,G,0
Lock Up: The Prisoners of Rikers Island,MOVIE,1994,G,1
All Dogs Go to Heaven 2,MOVIE,1996,G,3
Introducing Dorothy Dandridge,MOVIE,1999,PG-13,2
The Stranger,MOVIE,1991,G,2
Chez Whoopi,MOVIE,1991,G,3
Vendetta,MOVIE,1999,R,2
Tyson,MOVIE,1995,G,2
Fists of Freedom: The Story of the '68 Summer Games,MOVIE,1999,G,1
The Parent 'Hood,SHOW,1995,TV-PG,3
In Vanda's Room,MOVIE,2000,G,2
Crashbox,SHOW,1999,TV-Y7,3
Into the Arms of Strangers: Stories of the Kindertransport,MOVIE,2000,PG,1
David Spade: Take the Hit,MOVIE,1998,G,1
Fled,MOVIE,1996,R,2
When Trumpets Fade,MOVIE,1998,R,2
The Brak Show,SHOW,2000,TV-PG,3
In the Gloaming,MOVIE,1997,PG,2
In the House,SHOW,1995,TV-PG,1
Witness Protection,MOVIE,1999,R,2
The Tale of Peter Rabbit,MOVIE,1991,G,3
Dead Silence,MOVIE,1997,R,0
Martin Lawrence: You So Crazy,MOVIE,1994,G,1
Happily Ever After: Fairy Tales for Every Child,SHOW,1995,TV-Y,0
The Young Girls Turn 25,MOVIE,1993,G,1
Paul F. Tompkins: Driven to Drink,MOVIE,1998,G,1
Nichols and May: Take Two,MOVIE,1996,G,1
The World of Jacques Demy,MOVIE,1995,G,1
Freedom on My Mind,MOVIE,1994,G,1
Abortion: Desperate Choices,MOVIE,1992,G,1
Daybreak,MOVIE,1993,R,2
Indictment: The McMartin Trial,MOVIE,1995,R,0
Seneca,MOVIE,1998,G,2
In Pursuit of Honor,MOVIE,1995,PG-13,2
The Enemy Within,MOVIE,1994,G,0
Miss Evers' Boys,MOVIE,1997,PG,2
David Cross: The Pride Is Back,MOVIE,1999,G,1
The Last Outlaw,MOVIE,1993,R,3
Ellen DeGeneres: The Beginning,MOVIE,2000,G,1
The Sissy Duckling,MOVIE,1999,G,3
Mob Stories,MOVIE,1993,G,1
White Mile,MOVIE,1994,R,0
The Last of the Blonde Bombshells,MOVIE,2000,PG-13,3
Skinheads USA: Soldiers of the Race War,MOVIE,1993,G,1
Lillehammer ’94: 16 Days of Glory,MOVIE,1994,G,1
Without Warning: The James Brady Story,MOVIE,1991,R,2
Nagano ’98 Olympics: Stories of Honor and Glory,MOVIE,1998,G,1
5 American Handguns - 5 American Kids,MOVIE,1995,PG,1
Babe Ruth,MOVIE,1998,G,1
D.L. Hughley: Going Home,MOVIE,1999,G,1
Goodnight Moon & Other Sleepytime Tales,MOVIE,1999,G,3
City Dump: The Story of the 1951 CCNY Basketball Scandal,MOVIE,1998,G,1
Ira Sleeps Over,MOVIE,1991,G,3
Jason Kuller: Goodbye Yellow Brick Joke,MOVIE,1999,G,1
A Child's Garden of Verses,MOVIE,1992,G,3
Doctor Who,SHOW,2005,G,2
The Big Bang Theory,SHOW,2007,TV-14,3
The Wire,SHOW,2002,TV-MA,0
Fringe,SHOW,2008,TV-14,0
Harry Potter and the Philosopher's Stone,MOVIE,2001,PG,3
The Lord of the Rings: The Fellowship of the Ring,MOVIE,2001,PG-13,2
No Country for Old Men,MOVIE,2007,R,0
The Dark Knight,MOVIE,2008,PG-13,0
Adaptation.,MOVIE,2002,R,4
The Mentalist,SHOW,2008,TV-14,0
Band of Brothers,SHOW,2001,TV-MA,2
The Office,SHOW,2001,TV-MA,4
The Incredible Hulk,MOVIE,2008,PG-13,3
Top Gear,SHOW,2002,TV-PG,3
Fullmetal Alchemist: Brotherhood,SHOW,2009,TV-14,3
Chuck,SHOW,2007,TV-14,4
Pride & Prejudice,MOVIE,2005,PG,2
Batman Begins,MOVIE,2005,PG-13,2
Spirited Away,MOVIE,2001,PG,3
Donnie Darko,MOVIE,2001,R,0
Ocean's Eleven,MOVIE,2001,PG-13,0
My Big Fat Greek Wedding,MOVIE,2002,PG,4
The Departed,MOVIE,2006,R,0
Inception,MOVIE,2010,PG-13,0
Reno 911!,SHOW,2003,TV-14,3
Deadwood,SHOW,2004,TV-MA,2
Luther,SHOW,2010,TV-MA,0
Master and Commander: The Far Side of the World,MOVIE,2003,PG-13,2
Matchstick Men,MOVIE,2003,PG-13,0
Adventure Time,SHOW,2010,TV-PG,3
Kill Bill: Vol. 1,MOVIE,2003,R,0
Moon,MOVIE,2009,R,2
Shrek the Third,MOVIE,2007,PG,3
The Notebook,MOVIE,2004,PG-13,2
Six Feet Under,SHOW,2001,TV-MA,4
The Bourne Identity,MOVIE,2002,PG-13,0
Collateral,MOVIE,2004,R,0
True Blood,SHOW,2008,TV-MA,0
Transformers,MOVIE,2007,PG-13,3
Young Justice,SHOW,2010,TV-14,2
Insidious,MOVIE,2010,PG-13,0
Pretty Little Liars,SHOW,2010,TV-14,2
Pushing Daisies,SHOW,2007,TV-PG,4
The Hangover,MOVIE,2009,R,4
Constantine,MOVIE,2005,R,3
City of God,MOVIE,2002,R,2
Eastbound & Down,SHOW,2009,TV-MA,4
DEATH NOTE,SHOW,2006,TV-14,0
Jurassic Park III,MOVIE,2001,PG-13,0
Lars and the Real Girl,MOVIE,2007,PG-13,4
The Town,MOVIE,2010,R,0
28 Days Later,MOVIE,2002,R,0
Charlie and the Chocolate Factory,MOVIE,2005,PG,3
Chicago,MOVIE,2002,PG-13,4
Flight of the Conchords,SHOW,2007,TV-MA,3
The O.C.,SHOW,2003,TV-14,4
Atonement,MOVIE,2007,R,2
Wallander,SHOW,2008,TV-14,0
One Tree Hill,SHOW,2003,TV-14,2
The Middle,SHOW,2009,TV-PG,3
Gossip Girl,SHOW,2007,TV-14,2
Sweeney Todd: The Demon Barber of Fleet Street,MOVIE,2007,R,0
The Time Traveler's Wife,MOVIE,2009,PG-13,4
Boardwalk Empire,SHOW,2010,TV-MA,2
Rent,MOVIE,2005,PG-13,2
V for Vendetta,MOVIE,2006,R,0
John Adams,SHOW,2008,TV-14,2
Rome,SHOW,2005,TV-MA,2
Howl's Moving Castle,MOVIE,2004,PG,2
The Italian Job,MOVIE,2003,PG-13,0
RED,MOVIE,2010,PG-13,0
Wedding Crashers,MOVIE,2005,R,3
Harry Potter and the Prisoner of Azkaban,MOVIE,2004,PG,3
Sherlock Holmes,MOVIE,2009,PG-13,0
Inside Man,MOVIE,2006,R,0
The 40 Year Old Virgin,MOVIE,2005,R,3
Black Hawk Down,MOVIE,2001,R,2
The Day After Tomorrow,MOVIE,2004,PG-13,0
Rizzoli & Isles,SHOW,2010,TV-14,2
Chappelle's Show,SHOW,2003,TV-14,3
Robot Chicken,SHOW,2005,TV-MA,0
Bend It Like Beckham,MOVIE,2002,PG-13,4
The Boondocks,SHOW,2005,TV-MA,4
Cold Case,SHOW,2003,TV-14,0
Frailty,MOVIE,2001,R,0
Entourage,SHOW,2004,TV-MA,4
Blade Runner: The Final Cut,MOVIE,2007,R,0
Timecrimes,MOVIE,2007,R,0
The Pacific,SHOW,2010,TV-MA,2
Underworld,MOVIE,2003,R,0
Waiting...,MOVIE,2005,R,3
Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,0
Without a Trace,SHOW,2002,TV-14,0
Kick-Ass,MOVIE,2010,R,3
Cloverfield,MOVIE,2008,PG-13,0
Southland,SHOW,2009,TV-14,0
Samurai Jack,SHOW,2001,TV-14,0
Daredevil,MOVIE,2003,PG-13,3
The Book of Eli,MOVIE,2010,R,0
The Closer,SHOW,2005,TV-MA,2
Vanilla Sky,MOVIE,2001,R,0
Crash,MOVIE,2005,G,0
Teen Titans,SHOW,2003,TV-Y7,3
Harry Potter and the Chamber of Secrets,MOVIE,2002,PG,3
The Batman,SHOW,2004,TV-Y7,0
Regular Show,SHOW,2010,TV-PG,3
Pulse,MOVIE,2001,R,0
The Bourne Supremacy,MOVIE,2004,PG-13,0
Law Abiding Citizen,MOVIE,2009,R,0
Degrassi,SHOW,2001,TV-14,2
Insomnia,MOVIE,2002,R,0
House of 1000 Corpses,MOVIE,2003,R,3
The Fast and the Furious: Tokyo Drift,MOVIE,2006,PG-13,0
The Venture Bros.,SHOW,2004,TV-MA,3
3:10 to Yuma,MOVIE,2007,R,2
Zathura: A Space Adventure,MOVIE,2005,PG,3
The Butterfly Effect,MOVIE,2004,R,0
Next,MOVIE,2007,PG-13,0
The New Adventures of Old Christine,SHOW,2006,TV-PG,4
Bridget Jones's Diary,MOVIE,2001,R,4
Hellboy,MOVIE,2004,PG-13,3
Evolution,MOVIE,2001,PG-13,3
Where the Wild Things Are,MOVIE,2009,PG,2
The Lord of the Rings: The Two Towers,MOVIE,2002,PG-13,2
Beyond the Black Rainbow,MOVIE,2010,R,0
Torchwood,SHOW,2006,TV-MA,0
Harry Potter and the Goblet of Fire,MOVIE,2005,PG-13,3
Generation Kill,SHOW,2008,TV-MA,2
Finding Neverland,MOVIE,2004,PG,2
The Break-Up,MOVIE,2006,PG-13,4
Equilibrium,MOVIE,2002,R,0
Emma,SHOW,2009,TV-PG,4
Mike & Molly,SHOW,2010,TV-14,3
Gone Baby Gone,MOVIE,2007,R,0
The Aviator,MOVIE,2004,PG-13,2
The Secret in Their Eyes,MOVIE,2009,R,2
Angels in America,SHOW,2003,TV-MA,2
Metalocalypse,SHOW,2006,TV-MA,3
Mystic River,MOVIE,2003,R,0
I Am Legend,MOVIE,2007,PG-13,0
The Bachelor,SHOW,2002,TV-14,2
The Devil's Rejects,MOVIE,2005,R,2
Ocean's Twelve,MOVIE,2004,PG-13,0
Rubber,MOVIE,2010,R,0
The Wrestler,MOVIE,2008,R,2
Red Dragon,MOVIE,2002,R,0
Big Love,SHOW,2006,TV-MA,2
Jane Eyre,SHOW,2006,TV-PG,2
The Happening,MOVIE,2008,R,0
Kill Bill: Vol. 2,MOVIE,2004,R,0
Terminator 3: Rise of the Machines,MOVIE,2003,R,0
Extract,MOVIE,2009,R,3
Million Dollar Baby,MOVIE,2004,PG-13,2
Poseidon,MOVIE,2006,PG-13,0
Hostel,MOVIE,2006,R,3
He's Just Not That Into You,MOVIE,2009,PG-13,4
I ♥ Huckabees,MOVIE,2004,R,3
The Piano Teacher,MOVIE,2001,R,2
Solaris,MOVIE,2002,PG-13,2
Salt,MOVIE,2010,PG-13,0
27 Dresses,MOVIE,2008,PG-13,3
Ponyo,MOVIE,2008,G,3
Whitechapel,SHOW,2009,TV-MA,0
The Mummy Returns,MOVIE,2001,PG-13,0
Wipeout,SHOW,2008,TV-14,3
Revolver,MOVIE,2005,R,0
17 Again,MOVIE,2009,PG-13,4
Justice League,SHOW,2001,TV-PG,0
Ella Enchanted,MOVIE,2004,PG,3
Just Friends,MOVIE,2005,PG-13,3
"Tim and Eric Awesome Show, Great Job!",SHOW,2007,TV-MA,3
Semi-Pro,MOVIE,2008,R,3
The Stepford Wives,MOVIE,2004,PG-13,3
Frida,MOVIE,2002,R,4
